Pressure,Lat,Long,Altitude,MSE
40000.0,-85.0,-3.0,6827.290626133655,0.016958224230021347
40000.0,-85.0,155.0,6814.038253556437,0.015378083228101825
40000.0,-78.0,8.0,6907.64405997357,0.019912487653572262
40000.0,-73.0,115.0,6803.441300172315,0.025263597208472408
40000.0,-69.0,-73.0,6923.474430419517,0.01961721768602729
40000.0,-67.0,-117.0,7009.971146060065,0.028639029804812824
40000.0,-64.0,58.0,7046.549003031716,0.028187297433475936
40000.0,-60.0,173.0,7078.432420417444,0.028481289869963834
40000.0,-55.0,-169.0,7262.761438575352,0.02846691552240831
40000.0,-49.0,-3.0,7150.392779753576,0.023606363120889918
40000.0,-47.0,140.0,7300.287192779591,0.03063902543257152
40000.0,-43.0,-59.0,7253.667008382567,0.020204885396079213
40000.0,-43.0,109.0,7346.193378809079,0.02120496943302476
40000.0,-40.0,-150.0,7387.435095842403,0.015061519570179585
40000.0,-40.0,-110.0,7399.548102586028,0.01637304722869029
40000.0,-40.0,-75.0,7373.059508771248,0.01887503559726213
40000.0,-40.0,-35.0,7358.33967289205,0.01855294098436809
40000.0,-40.0,0.0,7388.187140469528,0.024095082458572368
40000.0,-40.0,35.0,7419.852850007774,0.022326187283865043
40000.0,-40.0,75.0,7422.032713224244,0.019549146031301975
40000.0,-40.0,110.0,7426.936690246684,0.020222507783323292
40000.0,-40.0,150.0,7474.27769275368,0.020799457328705882
40000.0,-40.0,180.0,7436.121993385935,0.021474835103154653
40000.0,-33.0,-27.0,7537.933537877021,0.014694091238839867
40000.0,-30.0,72.0,7547.008805257567,0.017467433475843896
40000.0,-20.0,120.0,7595.250719060945,0.02678698070742045
40000.0,-19.0,-47.0,7594.704176869558,0.016284595703727055
40000.0,-19.0,10.0,7588.87742440143,0.023368055770660853
40000.0,-15.0,57.0,7588.7824929713415,0.016028910018322684
40000.0,-13.0,-174.0,7595.7236611538665,0.01745527198192362
40000.0,-9.0,-24.0,7592.527857133603,0.029236955043640645
40000.0,-8.0,167.0,7590.014042742019,0.023038934664424124
40000.0,-6.0,-158.0,7589.486541090122,0.027287409423328076
40000.0,-4.0,146.0,7588.315594067423,0.028450811253821463
40000.0,1.0,-149.0,7587.388529358416,0.022197342135903363
40000.0,3.0,171.0,7588.17837408012,0.023526685962738655
40000.0,8.0,8.0,7592.49546619118,0.022741041813161177
40000.0,13.0,-114.0,7591.3572372512435,0.017446112775665948
40000.0,14.0,-94.0,7591.316884004457,0.015572642481752804
40000.0,19.0,43.0,7559.495069412054,0.012867429994360717
40000.0,22.0,65.0,7551.463020995284,0.013849763532724093
40000.0,23.0,-74.0,7522.062261122772,0.017963316037242317
40000.0,26.0,109.0,7509.631054525549,0.01593212667577988
40000.0,27.0,-2.0,7413.6770873821,0.025681491731109632
40000.0,32.0,-164.0,7419.415315998134,0.0253537847259754
40000.0,32.0,-130.0,7442.539935414075,0.015015302269554212
40000.0,38.0,1.0,7224.424955301617,0.023662940652750212
40000.0,39.0,-141.0,7292.484978266221,0.02285341627730992
40000.0,40.0,-150.0,7258.15968011505,0.02866255999435162
40000.0,40.0,-110.0,7278.808186444082,0.023652256036677668
40000.0,40.0,-75.0,7191.0119219980825,0.028641355610545528
40000.0,40.0,-35.0,7210.141399124171,0.0229820961584611
40000.0,40.0,0.0,7202.269754741916,0.02170782271604359
40000.0,40.0,35.0,7200.420424731809,0.026831395984891444
40000.0,40.0,75.0,7219.860302977301,0.021815081286545406
40000.0,40.0,110.0,7237.78063458748,0.025712081318732916
40000.0,40.0,150.0,7229.578943660603,0.024731446599623015
40000.0,40.0,180.0,7221.1351008628735,0.02308323938974782
40000.0,41.0,-4.0,7190.503616358313,0.02410306636484471
40000.0,43.0,1.0,7173.2975219929,0.020665496724908153
40000.0,50.0,78.0,6968.052646111889,0.026414280714116944
40000.0,53.0,-144.0,6804.617213412106,0.04562804040261432
40000.0,54.0,-158.0,6767.415951654488,0.03971508756679084
40000.0,57.0,81.0,6753.406314780265,0.031910079440611666
40000.0,58.0,-149.0,6619.081705729167,0.034873345273007846
40000.0,64.0,110.0,6610.0667350098465,0.03472501277613469
40000.0,69.0,149.0,6528.072507741242,0.029536278898428595
40000.0,72.0,141.0,6506.996193349658,0.026075065957124055
40000.0,87.0,-166.0,6465.345555749896,0.019738819968995264
40000.0,87.0,-119.0,6470.110885999689,0.016200942354190687
15000.0,-88.0,-164.0,13195.222912132049,0.01221322155734397
15000.0,-82.0,145.0,13210.79949212272,0.008344500656382762
15000.0,-80.0,-95.0,13222.17779267724,0.01600102461630404
15000.0,-77.0,-93.0,13238.54615270004,0.015199856534248078
15000.0,-76.0,155.0,13271.43492174544,0.011014834147857325
15000.0,-70.0,-87.0,13291.116646584784,0.012736762267270345
15000.0,-70.0,101.0,13204.599217454395,0.0149212675440583
15000.0,-68.0,-113.0,13371.912190350331,0.01913561499095522
15000.0,-67.0,160.0,13375.88314449886,0.010941193487936082
15000.0,-66.0,133.0,13296.887575469009,0.015060051801363045
15000.0,-64.0,128.0,13308.08016071984,0.0171560854553267
15000.0,-60.0,-98.0,13430.318084058872,0.015572578489837044
15000.0,-60.0,54.0,13546.74183606706,0.02208170348163518
15000.0,-57.0,-47.0,13418.01695299544,0.014963293814627618
15000.0,-57.0,146.0,13495.143510960821,0.020988383410159038
15000.0,-56.0,68.0,13567.199017931178,0.024946208889283113
15000.0,-55.0,-98.0,13509.165711157753,0.019603823942470778
15000.0,-49.0,124.0,13691.557508680555,0.027804626679493547
15000.0,-47.0,-29.0,13674.496258939676,0.023788960027203213
15000.0,-43.0,38.0,13879.17003685997,0.02205666022227047
15000.0,-40.0,-150.0,13895.88719974347,0.015149742982532738
15000.0,-40.0,-110.0,13910.252563679001,0.020224581682875296
15000.0,-40.0,-75.0,13890.994194068719,0.015263604543804281
15000.0,-40.0,-35.0,13921.098595563848,0.018510290913375783
15000.0,-40.0,0.0,13926.14417010002,0.02444013181879154
15000.0,-40.0,35.0,13925.534872836339,0.021442841121776125
15000.0,-40.0,75.0,13933.538529682317,0.02199784185827373
